gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle
not defined yet,5:0:2:31:1190466,37.360588,127.10565,23.04,0.2,99.99,0.0,0.0,0.0
not defined yet,5:0:2:32:1191486,37.360565,127.10567,22.68,0.32,99.99,204.62,8634.79,104.63
not defined yet,5:0:2:33:1192498,37.360554,127.10567,22.55,0.33,99.99,204.63,8632.77,104.63
not defined yet,5:0:2:34:1193457,37.360546,127.10567,22.48,0.39,99.99,204.64,8631.9,104.63
not defined yet,5:0:2:35:1194459,37.360546,127.10567,22.52,0.34,99.99,204.64,8631.39,104.63
not defined yet,5:0:2:36:1195463,37.360546,127.10567,22.51,0.26,99.99,204.64,8631.39,104.63
not defined yet,5:0:2:37:1196455,37.360558,127.10567,22.74,0.04,99.99,204.64,8631.39,104.63
not defined yet,5:0:2:38:1197457,37.360573,127.10567,22.97,0.14,99.99,204.64,8632.42,104.63
not defined yet,5:0:2:39:1198457,37.360584,127.10567,23.14,0.06,99.99,204.63,8633.45,104.63
not defined yet,5:0:2:40:1199455,37.360588,127.10567,23.28,0.16,99.99,204.63,8635.35,104.63
not defined yet,5:0:2:41:1200502,37.3606,127.10567,23.39,0.2,99.99,204.63,8635.35,104.64
not defined yet,5:0:2:42:1201458,37.360596,127.10567,23.33,0.2,99.99,204.62,8636.56,104.64
not defined yet,5:0:2:43:1202493,37.360584,127.10567,23.19,0.27,99.99,204.62,8636.56,104.64
not defined yet,5:0:2:44:1203452,37.360584,127.10567,23.16,0.42,91.21,204.63,8635.35,104.64
not defined yet,5:0:2:45:1204500,37.360584,127.10567,23.17,0.56,146.94,204.63,8635.35,104.64
not defined yet,5:0:2:46:1205516,37.360584,127.10567,23.18,0.63,176.11,204.63,8635.35,104.64
not defined yet,5:0:2:47:1206466,37.360584,127.10567,23.14,0.73,187.11,204.63,8635.35,104.64
not defined yet,5:0:2:48:1207474,37.36058,127.10567,23.04,0.77,190.41,204.63,8635.35,104.64
not defined yet,5:0:2:49:1208502,37.360573,127.10565,22.92,0.75,192.43,204.63,8634.66,14.22
not defined yet,5:0:2:50:1209502,37.360573,127.10567,22.96,0.55,193.76,204.62,8632.89,14.22
not defined yet,5:0:2:51:1210470,37.360584,127.10567,23.09,0.42,193.76,204.63,8633.45,14.22
not defined yet,5:0:2:53:1212491,37.36062,127.105675,23.76,0.03,193.76,204.63,8635.35,14.22
not defined yet,5:0:2:54:1213455,37.360622,127.105675,23.8,0.1,193.76,204.62,8638.57,14.22
not defined yet,5:0:2:55:1214462,37.360622,127.105675,23.68,0.04,193.76,204.62,8639.43,14.22
not defined yet,5:0:2:56:1215489,37.360626,127.10567,23.65,0.06,193.76,204.62,8639.43,14.22
not defined yet,5:0:2:57:1216490,37.360626,127.10567,23.51,0.02,193.76,204.61,8639.32,14.22
not defined yet,5:0:2:58:1217449,37.360626,127.10565,23.49,0.22,193.76,204.61,8639.32,10.85
not defined yet,5:0:2:59:1218450,37.360626,127.10565,23.46,0.09,193.76,204.61,8638.75,10.85
not defined yet,5:0:3:0:1219460,37.36063,127.10565,23.58,0.06,193.76,204.61,8638.75,10.85
not defined yet,5:0:3:1:1220460,37.360626,127.10565,23.55,0.09,193.76,204.61,8639.27,10.85
not defined yet,5:0:3:2:1221453,37.360626,127.10565,23.54,0.13,193.76,204.61,8638.75,10.85
not defined yet,5:0:3:3:1222501,37.360344,127.10556,18.68,0.07,193.76,204.61,8638.75,10.85
not defined yet,5:0:3:4:1223491,37.360172,127.1055,15.76,0.06,193.76,204.65,8606.58,10.89
not defined yet,5:0:3:5:1224495,37.36009,127.10548,14.3,0.11,193.76,204.67,8587.08,10.91
not defined yet,5:0:3:6:1225492,37.360085,127.10548,14.22,0.14,193.76,204.68,8578.13,10.92
not defined yet,5:0:3:7:1226492,37.36008,127.10548,14.17,0.17,193.76,204.68,8577.44,10.92
not defined yet,5:0:3:8:1227490,37.36008,127.10548,14.14,0.12,193.76,204.68,8577.44,10.92
not defined yet,5:0:3:9:1228461,37.360077,127.10546,14.09,0.14,193.76,204.68,8577.44,10.92
not defined yet,5:0:3:10:1229451,37.360077,127.10546,14.09,0.06,193.76,204.67,8576.02,10.91
not defined yet,5:0:3:11:1230507,37.36007,127.10546,13.94,0.01,193.76,204.67,8576.02,10.91
not defined yet,5:0:3:12:1231449,37.360065,127.10546,13.82,0.02,193.76,204.68,8575.15,10.92
not defined yet,5:0:3:13:1232492,37.360065,127.10546,13.79,0.04,193.76,204.68,8574.98,10.92
