gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:10:10:57:30054,37.2895,127.06572,72.8,0.06,0.0,0.0,0.0,0.0,,0
not defined yet,6:10:10:58:31014,37.2895,127.06572,72.8,0.04,0.0,232.59,381.56,0.0,,0
not defined yet,6:10:10:59:32045,37.289497,127.06572,73.2,0.06,0.0,232.59,381.56,0.0,,0
not defined yet,6:10:11:0:32987,37.2895,127.06572,73.5,0.04,0.0,232.62,381.45,0.0,,0
not defined yet,6:10:11:1:34023,37.2895,127.065704,74.0,0.11,0.0,232.59,381.56,0.0,,0
not defined yet,6:10:11:2:34993,37.289497,127.065704,74.6,0.05,0.0,232.49,380.37,0.0,,0
not defined yet,6:10:11:3:36038,37.289497,127.065704,75.3,0.03,0.0,232.51,380.26,0.0,,0
not defined yet,6:10:11:4:37031,37.2895,127.065704,75.2,0.05,0.0,232.51,380.26,0.0,,0
not defined yet,6:10:11:5:38007,37.2895,127.065704,75.1,0.06,0.0,232.49,380.37,0.0,,0
not defined yet,6:10:11:6:39000,37.289505,127.065704,74.7,0.1,0.0,232.49,380.37,0.0,,0
not defined yet,6:10:11:7:40010,37.2895,127.065704,75.8,0.22,0.0,232.42,380.72,0.0,,0
not defined yet,6:10:11:8:41005,37.289505,127.065704,75.8,0.13,0.0,232.49,380.37,0.0,,0
not defined yet,6:10:11:9:42065,37.28951,127.065704,75.0,0.04,0.0,232.42,380.72,0.0,,0
not defined yet,6:10:11:10:42993,37.289513,127.065704,73.9,0.34,0.0,232.38,380.95,0.0,,0
not defined yet,6:10:11:11:44073,37.2895,127.065704,74.8,0.68,232.39,232.38,380.95,0.0,,0
not defined yet,6:10:11:12:45048,37.289497,127.06569,74.8,0.63,231.39,232.49,380.37,0.0,,0
not defined yet,6:10:11:13:46027,37.289497,127.06568,75.0,0.78,249.33,306.04,66.09,74.65,,0
not defined yet,6:10:11:14:47056,37.289497,127.06568,75.2,0.88,248.38,306.52,65.66,57.19,,0
not defined yet,6:10:11:15:48031,37.28949,127.06567,76.6,0.94,242.27,306.52,65.66,58.14,,0
not defined yet,6:10:11:16:49012,37.289486,127.06565,76.2,1.18,232.32,307.77,65.04,65.5,,0
not defined yet,6:10:11:17:50040,37.28948,127.06565,76.9,1.19,229.47,308.9,64.33,76.58,,0
not defined yet,6:10:11:18:51041,37.28947,127.06564,76.7,1.29,228.16,309.43,64.81,79.96,,0
not defined yet,6:10:11:19:52060,37.289467,127.06563,76.1,1.22,227.4,309.94,64.41,81.78,,0
not defined yet,6:10:11:20:53029,37.289455,127.06561,75.8,1.22,226.39,311.62,64.25,84.22,,0
not defined yet,6:10:11:21:54052,37.289448,127.065605,75.0,1.11,231.45,313.31,64.15,86.92,,0
not defined yet,6:10:11:22:55022,37.289444,127.06559,74.6,1.08,236.52,313.97,63.92,82.52,,0
not defined yet,6:10:11:23:56031,37.289444,127.065575,73.8,0.81,240.35,315.31,63.49,78.79,,0
not defined yet,6:10:11:24:57037,37.289444,127.065575,72.7,0.15,240.35,316.08,62.41,75.73,,0
not defined yet,6:10:11:25:58049,37.289444,127.065575,73.0,0.18,240.35,316.08,62.41,75.73,,0
