sysTime,roll,pitch,yaw,ax,ay,az
4:23:51:36:535617,77.36,56.86,27.56,0.84,0.52,0.09
4:23:51:36:535618,77.08,56.7,27.6,0.83,0.53,0.16
4:23:51:36:535665,77.33,56.36,28.24,0.81,0.56,0.11
4:23:51:37:535743,77.02,56.65,28.01,0.83,0.52,0.15
4:23:51:37:535857,76.75,56.7,27.88,0.83,0.53,0.12
4:23:51:37:535952,76.94,56.85,28.21,0.84,0.53,0.12
4:23:51:37:536047,76.94,56.81,28.14,0.84,0.53,0.12
4:23:51:37:536240,76.56,57.64,27.99,0.87,0.47,0.12
4:23:51:37:536336,77.19,57.39,28.48,0.83,0.54,0.11
4:23:51:37:536448,77.16,56.34,27.67,0.84,0.52,0.13
4:23:51:37:536543,77.5,55.09,26.91,0.8,0.58,0.12
4:23:51:37:536640,77.26,55.17,27.39,0.82,0.55,0.13
4:23:51:38:536735,77.48,55.59,28.15,0.82,0.55,0.12
4:23:51:38:536847,77.27,55.6,27.88,0.82,0.54,0.14
4:23:51:38:537440,79.4,56.96,30.55,0.85,0.51,0.09
4:23:51:38:537534,78.44,56.48,28.95,0.81,0.55,0.17
4:23:51:38:537646,78.43,55.9,30.04,0.83,0.55,0.1
4:23:51:39:537743,79.17,56.0,30.67,0.83,0.54,0.12
4:23:51:39:537839,80.29,56.08,33.99,0.83,0.55,0.06
4:23:51:39:537949,79.9,54.81,34.73,0.8,0.57,0.18
4:23:51:39:538046,79.77,53.59,33.5,0.79,0.6,0.08
4:23:51:39:538239,77.95,55.14,30.31,0.82,0.55,0.12
4:23:51:39:538350,77.46,55.48,29.54,0.81,0.55,0.14
4:23:51:39:538430,77.15,56.0,29.34,0.84,0.52,0.11
4:23:51:39:538542,76.77,56.05,28.77,0.83,0.54,0.14
4:23:51:39:538654,77.03,55.64,28.51,0.82,0.55,0.12
4:23:51:40:538750,76.83,55.51,28.17,0.82,0.55,0.13
4:23:51:40:538845,76.99,54.98,28.19,0.82,0.55,0.13
4:23:51:40:539437,75.89,56.99,27.59,0.84,0.52,0.13
4:23:51:40:539533,75.86,57.04,27.36,0.84,0.52,0.14
4:23:51:40:539645,75.75,57.14,27.38,0.84,0.52,0.13
4:23:51:41:539740,75.77,57.03,27.41,0.82,0.54,0.14
4:23:51:41:539836,75.39,57.47,26.98,0.85,0.5,0.16
4:23:51:41:539932,75.54,57.15,26.72,0.83,0.53,0.14
4:23:51:41:540060,75.72,56.82,27.09,0.84,0.51,0.14
4:23:51:41:540348,75.98,56.12,26.53,0.83,0.53,0.16
4:23:51:41:540444,76.11,55.63,26.44,0.83,0.54,0.12
4:23:51:41:540540,76.64,54.67,27.09,0.81,0.57,0.15
4:23:51:41:540652,76.47,53.67,26.97,0.79,0.58,0.17
4:23:51:42:540748,77.31,51.96,28.42,0.8,0.58,0.12
4:23:51:42:540844,78.49,48.24,27.81,0.7,0.71,0.13
4:23:51:42:540956,78.74,46.85,28.95,0.72,0.68,0.11
4:23:51:42:541451,78.03,49.06,30.24,0.73,0.67,0.14
4:23:51:42:541547,77.53,51.28,30.47,0.8,0.58,0.13
4:23:51:42:541644,77.43,51.84,29.48,0.77,0.62,0.11
4:23:51:43:541740,76.99,52.24,28.66,0.79,0.6,0.1
4:23:51:43:541835,75.21,52.87,25.97,0.78,0.58,0.18
4:23:51:43:541947,75.59,54.1,28.64,0.83,0.55,0.12
4:23:51:43:542043,76.26,54.09,30.06,0.79,0.59,0.13
4:23:51:43:542251,77.33,54.36,32.18,0.82,0.57,0.07
4:23:51:43:542347,78.48,52.33,32.52,0.78,0.6,0.15
4:23:51:43:542443,78.44,51.25,32.55,0.77,0.62,0.11
4:23:51:43:542539,78.35,49.72,32.72,0.77,0.61,0.14
4:23:51:43:542635,78.78,47.4,32.33,0.7,0.7,0.12
4:23:51:44:542731,78.35,47.8,32.25,0.73,0.67,0.14
4:23:51:44:542858,77.38,49.51,32.78,0.78,0.6,0.14
4:23:51:44:543446,78.39,47.48,34.88,0.74,0.66,0.13
4:23:51:44:543542,78.52,47.21,35.05,0.72,0.67,0.13
4:23:51:44:543654,78.46,47.19,34.96,0.73,0.66,0.13
4:23:51:45:543750,78.43,47.02,34.87,0.72,0.67,0.13
4:23:51:45:543845,78.06,47.05,34.44,0.72,0.66,0.15
4:23:51:45:543957,78.07,46.97,34.74,0.74,0.66,0.13
4:23:51:45:544038,77.94,46.17,33.42,0.7,0.69,0.17
4:23:51:45:544245,77.59,47.41,33.37,0.74,0.65,0.12
4:23:51:45:544341,77.15,49.22,33.2,0.77,0.62,0.13
4:23:51:45:544453,77.36,49.42,33.52,0.77,0.62,0.15
4:23:51:45:544549,77.43,48.64,31.98,0.74,0.66,0.13
4:23:51:45:544645,76.61,49.37,32.22,0.76,0.62,0.17
4:23:51:46:544741,77.18,49.78,33.04,0.73,0.64,0.15
4:23:51:46:544838,77.33,50.03,34.61,0.79,0.6,0.09
4:23:51:46:545444,77.36,47.93,33.29,0.74,0.65,0.15
4:23:51:46:545540,77.32,48.29,33.21,0.75,0.64,0.15
4:23:51:46:545637,77.23,48.52,33.58,0.75,0.64,0.16
4:23:51:47:545763,77.33,48.59,33.43,0.76,0.64,0.15
4:23:51:47:545860,77.19,48.93,33.19,0.76,0.61,0.14
4:23:51:47:545956,77.43,48.11,32.47,0.72,0.67,0.16
4:23:51:47:546052,77.25,47.87,32.73,0.74,0.64,0.15
4:23:51:47:546260,77.61,47.26,33.18,0.72,0.67,0.15
4:23:51:47:546355,77.73,47.23,33.79,0.74,0.65,0.15
4:23:51:47:546452,77.88,47.24,34.06,0.73,0.66,0.14
4:23:51:47:546547,77.7,47.51,33.96,0.75,0.67,0.15
4:23:51:47:546643,77.57,47.72,34.01,0.73,0.65,0.15
4:23:51:48:546740,77.47,47.86,34.06,0.74,0.65,0.15
4:23:51:48:546851,77.61,47.91,33.28,0.73,0.66,0.15
4:23:51:48:547443,77.75,48.52,35.65,0.72,0.67,0.18
4:23:51:48:547539,78.13,48.33,35.99,0.75,0.62,0.14
4:23:51:48:547635,78.17,48.16,35.84,0.74,0.65,0.14
4:23:51:49:547746,78.2,47.52,35.73,0.73,0.66,0.15
4:23:51:49:547858,78.33,46.8,35.92,0.73,0.66,0.13
4:23:51:49:547954,78.36,46.2,35.97,0.72,0.67,0.13
4:23:51:49:548050,78.3,45.82,35.98,0.71,0.68,0.14
4:23:51:49:548242,78.41,45.25,36.49,0.7,0.69,0.13
4:23:51:49:548372,78.37,44.93,36.53,0.71,0.68,0.14
4:23:51:49:548437,78.66,44.15,36.49,0.72,0.69,0.13
4:23:51:49:548532,78.71,43.15,35.85,0.7,0.69,0.13
4:23:51:49:548659,78.57,42.65,35.99,0.64,0.74,0.14
4:23:51:50:548755,78.48,42.39,36.14,0.65,0.7,0.16
4:23:51:50:548852,78.43,42.11,36.61,0.68,0.71,0.12
4:23:51:50:549460,78.63,40.32,37.39,0.63,0.7,0.11
4:23:51:50:549539,78.41,40.29,37.74,0.64,0.74,0.15
4:23:51:50:549651,78.61,39.82,38.31,0.62,0.76,0.15
4:23:51:51:549747,78.47,39.62,38.41,0.63,0.77,0.16
4:23:51:51:549843,78.49,39.6,38.82,0.65,0.72,0.15
4:23:51:51:549939,78.51,39.71,38.82,0.65,0.72,0.15
4:23:51:51:550051,78.5,39.57,38.97,0.63,0.78,0.11
4:23:51:51:550242,78.75,39.04,39.94,0.6,0.78,0.14
4:23:51:51:550338,78.42,39.5,40.18,0.63,0.76,0.15
4:23:51:51:550435,78.35,40.03,40.65,0.63,0.76,0.13
4:23:51:51:550546,78.43,40.12,41.23,0.63,0.76,0.12
4:23:51:51:550642,78.55,40.17,40.99,0.64,0.76,0.14
4:23:51:52:550738,78.53,40.04,40.74,0.63,0.76,0.13
4:23:51:52:550835,78.59,40.37,40.88,0.63,0.76,0.13
4:23:51:52:551442,78.32,44.3,39.22,0.7,0.7,0.15
4:23:51:52:551538,78.22,45.13,38.92,0.7,0.69,0.14
4:23:51:52:551634,78.07,45.93,38.48,0.72,0.67,0.15
4:23:51:53:551745,78.04,45.84,37.95,0.73,0.67,0.14
4:23:51:53:551858,78.28,45.16,37.85,0.69,0.71,0.13
4:23:51:53:551953,78.19,45.14,37.85,0.71,0.69,0.14
4:23:51:53:552049,78.2,45.16,38.21,0.71,0.69,0.15
4:23:51:53:552241,78.52,44.96,39.01,0.71,0.68,0.14
4:23:51:53:552337,78.51,44.96,38.98,0.71,0.69,0.14
4:23:51:53:552434,78.68,44.7,39.29,0.7,0.69,0.15
4:23:51:53:552544,78.78,44.57,39.35,0.67,0.68,0.14
4:23:51:53:552657,78.81,44.76,39.07,0.71,0.69,0.14
4:23:51:54:552753,78.79,44.94,38.65,0.7,0.69,0.15
4:23:51:54:552849,78.69,45.01,38.23,0.71,0.69,0.14
4:23:51:54:553440,78.77,44.46,37.69,0.7,0.68,0.15
4:23:51:54:553552,78.81,44.15,37.31,0.69,0.71,0.14
