sysTime,roll,pitch,yaw,ax,ay,az,sqrt(ax^2+ay^2+az^2),average
5:20:53:12:19971,1.83,-2.5,-104.88,-0.04,0.03,0.98,0.99,NaN
5:20:53:13:20962,1.86,-2.63,-105.04,-0.04,0.03,0.98,0.98,NaN
5:20:53:14:21952,1.87,-2.65,-105.26,-0.04,0.03,0.98,0.98,NaN
5:20:53:15:22944,1.86,-2.63,-105.3,-0.05,0.03,0.98,0.99,NaN
5:20:53:16:23952,7.03,-2.41,-103.73,-0.1,-0.0,1.22,1.22,NaN
5:20:53:17:24942,9.53,14.62,-81.79,0.26,0.29,0.99,1.06,NaN
5:20:53:18:25933,15.61,19.66,-100.41,0.4,0.04,0.74,0.84,NaN
5:20:53:19:26943,20.34,33.95,-73.58,0.35,0.17,0.77,0.87,NaN
5:20:53:20:27933,67.4,-47.87,-104.19,-0.85,0.61,0.47,1.15,NaN
5:20:53:21:28924,15.28,45.33,-93.47,0.92,0.11,0.69,1.16,NaN
5:20:53:22:29914,16.64,-26.31,-94.08,-0.38,0.22,1.06,1.15,NaN
5:20:53:23:30922,17.24,-0.16,-112.34,-0.02,0.22,0.96,0.98,NaN
5:20:53:24:31913,1.74,-5.55,-116.28,-0.11,0.04,0.98,0.98,NaN
5:20:53:25:32905,2.27,-4.88,-119.33,-0.1,0.02,0.99,0.99,NaN
5:20:53:26:33896,0.13,-1.87,-108.3,-0.14,0.02,1.13,1.14,NaN
5:20:53:27:34904,2.49,0.18,-106.3,-0.04,0.06,0.96,0.96,NaN
5:20:53:28:35895,3.41,-0.98,-101.5,-0.03,0.05,0.99,0.99,NaN
