sysTime,roll,pitch,yaw,ax,ay,az,sqrt,average
5:21:43:51:11000,2.42,-1.94,-120.28,-0.03,0.04,0.98,0.99,0.0
5:21:43:51:11096,2.42,-1.94,-120.28,-0.03,0.04,0.98,0.99,0.0
5:21:43:51:11193,2.41,-1.94,-120.27,-0.03,0.04,0.98,0.99,0.0
5:21:43:51:11304,2.41,-1.94,-120.26,-0.03,0.04,0.98,0.98,0.0
5:21:43:51:11399,2.42,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:51:11496,2.42,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:51:11594,2.42,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:52:12199,2.42,-1.95,-120.25,-0.03,0.04,0.98,0.98,0.0
5:21:43:52:12296,2.42,-1.94,-120.24,-0.03,0.04,0.98,0.98,0.0
5:21:43:52:12391,2.43,-1.95,-120.26,-0.03,0.04,0.98,0.99,0.0
5:21:43:52:12503,2.42,-1.96,-120.26,-0.03,0.04,0.98,0.99,0.0
5:21:43:52:12599,2.42,-1.96,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:52:12694,2.41,-1.95,-120.25,-0.03,0.03,0.99,0.99,0.0
5:21:43:52:12790,2.42,-1.96,-120.27,-0.03,0.03,0.98,0.98,0.0
5:21:43:53:12999,2.41,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:53:13094,2.42,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:53:13191,2.42,-1.95,-120.27,-0.03,0.03,0.98,0.99,0.0
5:21:43:53:13302,2.42,-1.95,-120.28,-0.03,0.04,0.98,0.98,0.0
5:21:43:53:13398,2.42,-1.95,-120.28,-0.03,0.03,0.98,0.98,0.0
5:21:43:53:13493,2.43,-1.95,-120.28,-0.03,0.04,0.98,0.98,0.0
5:21:43:53:13590,2.43,-1.96,-120.29,-0.03,0.04,0.98,0.98,0.0
5:21:43:54:14199,2.42,-1.97,-120.35,-0.03,0.03,0.98,0.98,0.0
5:21:43:54:14294,2.42,-1.96,-120.36,-0.03,0.03,0.99,0.99,0.0
5:21:43:54:14404,2.43,-1.96,-120.37,-0.03,0.04,0.98,0.98,0.0
5:21:43:54:14501,2.43,-1.96,-120.38,-0.03,0.03,0.99,0.99,0.0
5:21:43:54:14597,2.44,-1.96,-120.39,-0.03,0.04,0.98,0.99,0.0
5:21:43:54:14695,2.44,-1.96,-120.4,-0.03,0.04,0.98,0.98,0.0
5:21:43:54:14804,2.44,-1.96,-120.4,-0.03,0.04,0.98,0.98,0.0
5:21:43:55:14997,2.44,-1.96,-120.41,-0.03,0.04,0.98,0.98,0.0
5:21:43:55:15092,2.45,-1.95,-120.39,-0.03,0.04,0.99,0.99,0.0
5:21:43:55:15203,2.43,-1.94,-120.39,-0.03,0.04,0.98,0.98,0.0
5:21:43:55:15300,2.42,-1.94,-120.37,-0.03,0.04,0.99,0.99,0.0
5:21:43:55:15396,2.42,-1.95,-120.37,-0.03,0.04,0.98,0.98,0.0
5:21:43:55:15492,2.42,-1.95,-120.37,-0.03,0.04,0.98,0.99,0.0
5:21:43:55:15604,2.42,-1.95,-120.37,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16197,2.42,-1.95,-120.34,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16294,2.42,-1.94,-120.33,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16403,2.42,-1.94,-120.34,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16499,2.41,-1.95,-120.33,-0.03,0.03,0.98,0.99,0.0
5:21:43:56:16595,2.4,-1.94,-120.29,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16691,2.39,-1.95,-120.3,-0.03,0.04,0.98,0.98,0.0
5:21:43:56:16804,2.38,-1.95,-120.28,-0.03,0.03,0.98,0.99,0.0
5:21:43:57:16995,2.38,-1.95,-120.25,-0.03,0.03,0.98,0.98,0.0
5:21:43:57:17092,2.39,-1.96,-120.28,-0.03,0.04,0.99,0.99,0.0
5:21:43:57:17203,2.4,-1.96,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:57:17300,2.4,-1.95,-120.26,-0.03,0.04,0.98,0.98,0.0
5:21:43:57:17397,2.4,-1.95,-120.27,-0.03,0.04,0.98,0.98,0.0
5:21:43:57:17491,2.4,-1.95,-120.27,-0.03,0.04,0.99,0.99,0.0
5:21:43:57:17602,2.41,-1.94,-120.29,-0.03,0.04,0.98,0.98,0.0
5:21:43:58:18194,2.43,-1.96,-120.3,-0.03,0.04,0.98,0.98,0.0
5:21:43:58:18290,2.43,-1.96,-120.3,-0.03,0.04,0.97,0.98,0.0
5:21:43:58:18403,2.42,-1.97,-120.3,-0.03,0.04,0.98,0.98,0.0
