sysTime,serialLOG
4:20:14:48:27029,"%,3,2,3,1
"
4:20:14:48:27030,"%,4,1,1
"
4:20:14:49:28023,"%,3,2,3,1
"
4:20:14:49:28023,"%,4,1,1
"
4:20:14:50:28997,"%,3,2,3,1
"
4:20:14:50:28998,"%,4,1,1
"
4:20:14:50:28998,"%,7,1,205
"
4:20:14:50:29272,"%,1,6,144.15,9.52,40.62,0.17,0.59,-0.82
"
4:20:14:50:29369,"%,1,6,144.11,9.53,40.59,0.17,0.59,-0.82
"
4:20:14:50:29462,"%,1,6,144.10,9.36,40.70,0.16,0.59,-0.84
"
4:20:14:50:29557,"%,1,6,143.97,9.47,40.64,0.17,0.60,-0.82
"
4:20:14:50:29654,"%,1,6,143.97,9.44,40.65,0.17,0.59,-0.82
"
4:20:14:50:29765,"%,1,6,143.95,9.41,40.64,0.16,0.60,-0.82
"
4:20:14:50:29879,"%,1,6,143.91,9.42,40.65,0.17,0.59,-0.82
"
4:20:14:51:30005,"%,3,2,3,1
"
4:20:14:51:30006,"%,4,1,1
"
4:20:14:52:30996,"%,3,2,3,1
"
4:20:14:52:30996,"%,4,1,1
"
4:20:14:53:32004,"%,3,2,3,1
"
4:20:14:53:32005,"%,4,1,1
"
4:20:14:54:32994,"%,3,2,3,1
"
4:20:14:54:32995,"%,4,1,1
"
4:20:14:55:33985,"%,3,2,3,1
"
4:20:14:55:33986,"%,4,1,1
"
4:20:14:55:33986,"%,7,1,203
"
4:20:14:55:34275,"%,1,6,149.69,21.24,50.73,0.36,0.49,-0.82
"
4:20:14:55:34369,"%,1,6,149.57,21.62,50.57,0.38,0.48,-0.82
"
4:20:14:55:34467,"%,1,6,149.43,21.76,50.46,0.39,0.49,-0.82
"
4:20:14:55:34561,"%,1,6,149.42,21.42,50.55,0.36,0.49,-0.83
"
4:20:14:55:34673,"%,1,6,149.49,21.35,50.66,0.37,0.48,-0.82
"
4:20:14:55:34770,"%,1,6,149.46,21.38,50.78,0.38,0.49,-0.82
"
4:20:14:55:34865,"%,1,6,149.59,21.34,50.79,0.37,0.48,-0.82
"
4:20:14:56:34976,"%,3,2,3,1
"
4:20:14:56:34977,"%,4,1,1
"
4:20:14:56:35936,"1,Command without attached callback;
"
4:20:14:57:35967,"%,3,2,3,1
"
4:20:14:57:35967,"%,4,1,1
"
4:20:14:58:36958,"%,3,2,3,1
"
4:20:14:58:36959,"%,4,1,1
"
4:20:14:58:37071,"0,Navigation:auto;
"
4:20:14:59:37966,"%,3,2,3,0
"
4:20:14:59:37967,"%,4,1,1
"
4:20:15:0:38956,"%,3,2,3,0
"
4:20:15:0:38957,"%,4,1,1
"
4:20:15:0:38957,"%,7,1,201
"
4:20:15:0:39261,"%,1,6,149.91,21.10,53.11,0.37,0.48,-0.82
"
4:20:15:0:39389,"%,1,6,149.96,21.08,53.24,0.37,0.48,-0.83
"
4:20:15:0:39486,"%,1,6,149.92,21.16,53.23,0.37,0.48,-0.83
"
4:20:15:0:39565,"%,1,6,149.88,21.04,53.35,0.36,0.48,-0.84
"
4:20:15:0:39678,"%,1,6,149.89,21.07,53.41,0.37,0.48,-0.83
"
