sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:1:52:5990,27.87,-52.35,-146.45,-0.81,0.2,0.52,0.983107319,
4:10:1:52:5992,35.95,-53.36,-149.35,-0.76,0.27,0.44,0.91874915,
4:10:1:52:6254,32.29,-52.14,-128.9,-0.79,0.44,0.53,1.048141212,
4:10:1:52:6351,31.46,-50.56,-123.2,-0.7,0.36,0.6,0.989747443,
4:10:1:52:6464,28.73,-48.56,-116.01,-0.71,0.34,0.6,0.989797959,1.009228871
4:10:1:52:6542,24.36,-48.11,-108.6,-0.7,0.24,0.65,0.984936546,0.988160649
4:10:1:52:6655,21.43,-48.05,-101.26,-0.67,0.2,0.67,0.968400743,0.981045083
4:10:1:52:6735,15.89,-49.3,-94.16,-0.73,0.21,0.65,0.999749969,0.984362419
4:10:1:53:6847,7.9,-50.53,-86.86,-0.75,0.18,0.67,1.021665307,0.99660534
4:10:1:53:7253,47.06,-62.59,-84.97,-0.72,0.36,0.42,0.907964757,0.976460011
4:10:1:53:7332,65.04,-64.59,-90.28,-0.9,0.46,0.34,1.066395799,0.998675288
4:10:1:53:7444,66.49,-64.65,-85.86,-0.91,0.55,0.19,1.08013888,1.018166479
4:10:1:53:7540,60.89,-64.98,-74.34,-0.94,0.69,0.18,1.179872875,1.108802518
4:10:1:53:7636,61.68,-63.53,-72.16,-0.52,0.85,0.2,1.01631688,1.092109545
4:10:1:53:7745,60.81,-62.31,-72.21,-0.62,0.73,0.29,1.000699755,1.065629836
4:10:1:54:7842,59.63,-61.26,-74.02,-0.59,0.75,0.28,0.994484791,1.003833809
4:10:1:54:8243,56.2,-70.92,-76.98,-0.88,0.78,0.25,1.202206305,1.06579695
4:10:1:54:8355,55.49,-71.85,-76.37,-0.7,0.44,0.16,0.842140131,1.012943742
4:10:1:54:8451,61.37,-72.94,-79.91,-0.81,0.6,0.27,1.043551628,1.029299355
4:10:1:54:8531,63.43,-73.42,-79.07,-0.73,0.49,0.25,0.914056891,0.93324955
4:10:1:54:8659,69.04,-72.61,-81.98,-0.79,0.5,0.25,0.967780967,0.975129829
4:10:1:54:8738,68.3,-70.89,-79.73,-0.87,0.5,0.24,1.031746093,0.97119465
4:10:1:54:8836,65.05,-69.18,-75.97,-0.78,0.65,0.29,1.055935604,1.018487555
4:10:1:55:9253,67.79,-69.24,-78.97,-0.68,0.68,0.17,0.97657565,1.021419116
4:10:1:55:9333,73.15,-69.29,-82.81,-0.65,0.64,0.26,0.948525171,0.993678808
4:10:1:55:9445,65.6,-70.45,-76.3,-0.68,0.61,0.28,0.955458005,0.960186275
4:10:1:55:9556,57.74,-72.93,-68.38,-0.95,0.61,0.44,1.21169303,1.038558736
4:10:1:55:9653,47.25,-74.93,-57.74,-0.77,0.81,-0.09,1.121204709,1.096118582
4:10:1:55:9748,55.09,-75.26,-62.11,-0.82,0.82,0.2,1.176775255,1.169890998
4:10:1:56:9844,61.26,-76.83,-65.83,-0.68,0.46,0.16,0.836420947,1.044800304
4:10:1:56:10246,98.14,-79.88,-106.38,-0.69,0.9,0,1.13406349,1.049086564
4:10:1:56:10358,91.26,-77.84,-103.81,-0.78,0.55,0.01,0.9544632,0.974982546
4:10:1:56:10454,113.47,-76.31,-129.55,-0.61,0.54,0.12,0.823468275,0.970664988
4:10:1:56:10550,122.48,-73.74,-137.75,-0.7,0.61,0.3,0.975756117,0.917895864
