sysTime,roll,pitch,yaw,ax,ay,az
4:7:52:38:25937,94.86,31.5,169.27,0.57,0.91,0.01
4:7:52:38:26049,89.31,31.39,166.11,0.6,0.9,0.1
4:7:52:38:26145,87.7,31.14,166.33,0.56,0.86,0.14
4:7:52:38:26257,86.87,31.33,168.03,0.52,0.85,0.15
4:7:52:39:26353,86.55,31.38,169.92,0.53,0.85,0.17
4:7:52:39:26449,86.44,31.36,172.07,0.53,0.82,0.15
4:7:52:39:26923,89.99,31.45,-176.11,0.53,0.82,0.1
4:7:52:39:27034,90.62,31.66,-174.45,0.53,0.82,0.09
4:7:52:39:27147,90.9,31.75,-173.26,0.53,0.81,0.08
4:7:52:39:27226,90.65,31.64,-172.24,0.53,0.83,0.08
4:7:52:39:27322,90.29,31.54,-171.51,0.54,0.84,0.07
4:7:52:40:27450,89.99,31.55,-170.93,0.54,0.85,0.08
4:7:52:40:27941,90,33.15,-164.62,0.54,0.84,0.05
4:7:52:40:28053,91.05,32.96,-163.49,0.52,0.81,0.03
4:7:52:40:28148,91.16,32.92,-163.22,0.53,0.81,0.02
4:7:52:40:28244,90.65,32.88,-163.6,0.49,0.79,0.02
4:7:52:40:28341,88.83,32.86,-165.3,0.47,0.83,0.01
4:7:52:41:28437,86.54,32.32,-167.01,0.56,0.89,0.08
4:7:52:41:28950,65.99,40.73,174.35,0.91,0.76,0.38
4:7:52:41:29047,69.93,42.47,-179.65,0.79,0.73,0.4
4:7:52:41:29143,78.29,48.1,-170.27,0.83,0.56,0.23
4:7:52:41:29239,88.78,54.68,-159.82,1.03,0.5,0.03
4:7:52:42:29351,91.57,55.33,-155.83,0.56,0.49,-0.13
4:7:52:42:29447,81.81,48.31,-167.44,0.43,1.16,0.51
4:7:52:42:29932,108.12,55.34,-156.73,0.95,1,0.02
4:7:52:42:30027,98.69,54.33,-150.98,0.36,0.56,0.14
4:7:52:42:30139,85.97,48.21,-153.64,0.38,1.04,0.36
4:7:52:42:30235,94.36,46.82,-157.01,1.19,0.98,0.43
4:7:52:42:30331,99.45,50.62,-166.92,0.82,-0.05,0.52
4:7:52:43:30427,91.15,47.81,-177.83,0.58,-0.02,0.31
4:7:52:43:30947,87.32,39.29,-168.33,0.99,1.11,1.14
4:7:52:43:31026,99.3,45.99,-169.43,0.81,0.29,0.69
4:7:52:43:31138,102.81,52.43,-172.38,0.44,-0.3,0.11
4:7:52:43:31235,110.01,49.48,-163.88,1.43,0.08,1.07
4:7:52:43:31331,102.71,47.91,-151.13,0.78,0.84,0.6
4:7:52:44:31426,90.04,41.25,-156.4,-0.33,1.08,-0.01
4:7:52:44:31950,106.69,50.55,-163.56,1.41,1.1,1.69
4:7:52:44:32045,93.21,44.13,-153.73,0.48,0.89,0.55
4:7:52:44:32158,79.82,34.34,-158.64,0.06,0.64,-0.12
4:7:52:44:32237,83.43,29.85,-160.52,0.27,1.52,0.93
4:7:52:45:32350,93.17,40.64,-163.19,1.21,0.52,1.44
4:7:52:45:32429,106.52,46.89,-159.77,0.37,-0.27,0.12
4:7:52:45:32936,94.04,46.26,-137.46,1.02,0.32,1.12
4:7:52:45:33047,113.5,44.28,-126.19,1.51,-0.08,1.14
4:7:52:45:33143,113.17,55.37,-127.59,0.49,-0.17,-0.15
4:7:52:45:33239,115.51,56.31,-113.66,0.75,-0.16,0.67
4:7:52:45:33336,107.81,42.4,-100.14,1.66,0.7,0.28
4:7:52:46:33432,82.62,45.72,-114.08,0.91,0.72,0.34
4:7:52:46:33986,114.99,54.87,-98.67,0.53,-0.45,-0.12
4:7:52:46:34034,94.63,50,-105.82,1.68,0.42,0.39
4:7:52:46:34129,78.55,45.93,-109.83,0.35,0.67,-0.07
4:7:52:46:34242,97.04,39.67,-92.5,0.2,0.28,0.28
4:7:52:46:34322,113.19,26.18,-94.93,1.92,1.18,-0.07
4:7:52:47:34449,103.32,44.86,-114.46,0.87,0.45,0.15
4:7:52:47:34934,96.58,53.46,-113.55,0.71,1.06,0.04
4:7:52:47:35046,120.22,40.15,-99.95,1.76,0.15,0.43
4:7:52:47:35142,104.15,54.62,-127.02,0.86,0.36,0
4:7:52:47:35238,110.56,63.32,-130.87,0.04,-0.64,0.48
4:7:52:47:35334,108.61,67.73,-122.13,1.63,-0.05,0.32
4:7:52:48:35526,87.14,61.58,-131.49,1.14,-0.04,0.22
4:7:52:48:35937,100.8,54.33,-133.89,0.11,-0.59,0.51
4:7:52:48:36034,99.37,66.14,-131.1,1.08,-0.38,0.17
4:7:52:48:36193,94.72,53.26,-126,1.79,0.24,1.29
4:7:52:48:36322,62.72,51.04,-152.56,0.63,0.44,0.36
4:7:52:49:36353,73.23,51.44,-139.17,0.13,0.27,0.38
4:7:52:49:36433,95.36,50.53,-120.75,1.74,-0.08,0.71
4:7:52:49:36932,59.77,52.26,-149.48,0.63,-0.09,0.63
4:7:52:49:37044,66.43,43.96,-143.87,0.31,0.28,0.34
4:7:52:49:37140,76.54,47.78,-134.81,1.23,0.21,0.42
4:7:52:49:37236,88.22,37.3,-131.16,1.38,0.99,0.31
4:7:52:49:37332,83.78,48.42,-147.7,0.41,-0.2,0.28
4:7:52:50:37443,97.12,52.65,-134.45,0.41,-0.39,0.37
4:7:52:50:37926,105.28,34.41,-102.75,1.89,0.46,0.63
4:7:52:50:38038,90.06,43.6,-125.02,0.9,0.66,0.18
4:7:52:50:38135,77.38,53.22,-150.21,0.39,-0.41,0.48
4:7:52:50:38246,90.16,64.63,-141.32,0.57,-0.81,0.14
4:7:52:50:38342,96.8,57.21,-115.92,1.79,0.02,0.35
4:7:52:51:38469,73.53,55.26,-131.44,0.89,0.17,0.01
4:7:52:51:38970,79.4,57.12,-131.99,0.28,-0.57,0.06
4:7:52:51:39161,76.59,54.89,-121.99,1.93,-0.13,0.88
4:7:52:51:39305,58.16,47.91,-135.29,1.06,0.31,0.4
4:7:52:51:39321,51.54,46.92,-144.45,0.46,-0.02,0.76
4:7:52:51:39337,73.39,50.16,-118.63,0.48,0.12,0.34
4:7:52:52:39433,90.71,42.39,-105.75,1.48,0.45,-0.18
4:7:52:52:39966,64.82,40.05,-114.44,0.38,0.3,0.48
4:7:52:52:40077,80.29,38.9,-102.89,0.49,0.54,0.18
4:7:52:52:40126,98.03,38.74,-96.88,1.68,0.06,-0.21
4:7:52:52:40253,78.76,52.81,-125.87,0.6,0.04,0.04
4:7:52:53:40349,75.99,58.87,-136.92,0.11,-0.76,0.13
4:7:52:53:40478,66.34,57.71,-128.43,1.87,-0.34,0.97
4:7:52:53:40926,77.63,46.38,-117.2,0.93,0.18,-0.03
4:7:52:53:41053,86.58,51.89,-120.29,0.03,-0.65,0.27
4:7:52:53:41150,77.14,64.63,-110.46,1.31,-0.94,0.37
4:7:52:53:41246,62.22,50.93,-113.85,1.61,0.04,0.6
4:7:52:54:41358,44.64,47.43,-131.67,0.47,0.05,0.26
4:7:52:54:41438,56.2,45.98,-117.43,0.22,0.09,0.44
4:7:52:54:42091,65.18,52.27,-103.95,1.57,-0.06,0.5
4:7:52:54:42107,44.87,46.09,-119.32,0.75,0.09,0.31
4:7:52:54:42155,42.46,48.99,-115.85,0.16,0.15,0.32
4:7:52:54:42236,64.13,53.08,-94.99,1.38,-0.22,0.21
4:7:52:55:42364,75.17,40.33,-88.72,1.51,0.84,-0.07
4:7:52:55:42427,71.54,50.69,-106.97,0.22,-0.32,0.04
4:7:52:55:42949,61.65,58.65,-100.56,0.78,-0.14,-0.01
4:7:52:55:43061,74.68,50.62,-90.31,1.78,0.21,0.2
4:7:52:55:43124,62.95,56.52,-119.1,0.45,-0.26,-0.01
4:7:52:55:43236,80.69,60.75,-105.16,-0.11,-0.96,0.12
4:7:52:56:43365,62.24,59.25,-106.47,2.05,-0.3,0.82
4:7:52:56:43429,45.18,54.18,-115,0.9,0.01,0.01
4:7:52:56:43932,54.17,42.31,-133.52,0.23,-0.64,0.09
