sysTime,roll,pitch,yaw,ax,ay,az
4:8:56:10:13355,69.78,-43.53,163.16,-0.69,0.67,0.24
4:8:56:10:13356,69.84,-43.48,162.95,-0.7,0.68,0.24
4:8:56:10:13674,64.71,-42.49,163.95,-0.68,0.66,0.29
4:8:56:10:13770,63.65,-42.18,164.99,-0.68,0.68,0.34
4:8:56:10:13867,64.64,-42.96,164.16,-0.7,0.67,0.32
4:8:56:10:13978,68.92,-44.96,160.64,-0.74,0.68,0.28
4:8:56:10:14089,71.81,-45.8,158.09,-0.71,0.67,0.22
4:8:56:11:14187,73.19,-46.09,157.08,-0.72,0.69,0.21
4:8:56:11:14599,82.76,-46.21,150.33,-0.71,0.69,0.09
4:8:56:11:14663,83.61,-46.02,149.87,-0.71,0.7,0.07
4:8:56:11:14791,83.7,-45.97,150.13,-0.72,0.7,0.09
4:8:56:11:14871,83.21,-46.14,150.8,-0.73,0.7,0.07
4:8:56:11:14966,82.5,-46.28,151.62,-0.74,0.7,0.08
4:8:56:11:15078,81.34,-46.3,152.77,-0.73,0.69,0.11
4:8:56:12:15190,80.69,-46.31,153.38,-0.73,0.71,0.11
4:8:56:12:15683,81.06,-46.68,153.85,-0.75,0.7,0.09
4:8:56:12:15779,81.51,-46.63,153.69,-0.73,0.68,0.1
4:8:56:12:15876,82.07,-46.67,153.42,-0.74,0.7,0.09
4:8:56:12:15987,82.82,-46.73,152.78,-0.73,0.7,0.08
4:8:56:12:16083,82.49,-46.71,152.91,-0.74,0.69,0.09
4:8:56:12:16179,82.02,-46.66,153.32,-0.74,0.7,0.1
4:8:56:13:16585,81.5,-46.82,153.38,-0.74,0.69,0.11
4:8:56:13:16662,81.67,-46.86,153.23,-0.73,0.69,0.1
4:8:56:13:16774,81.61,-46.82,153.35,-0.74,0.7,0.11
4:8:56:13:16870,82.26,-46.86,152.82,-0.75,0.7,0.07
4:8:56:13:16981,82.09,-46.71,152.94,-0.75,0.71,0.12
4:8:56:13:17078,82.45,-46.47,152.94,-0.71,0.68,0.09
4:8:56:13:17174,82.3,-46.62,153.11,-0.71,0.69,0.1
4:8:56:14:17679,82.88,-46.37,152.6,-0.71,0.69,0.11
4:8:56:14:17760,82.61,-46.37,152.66,-0.72,0.69,0.1
4:8:56:14:17887,82.06,-46.47,153.06,-0.74,0.7,0.1
4:8:56:14:17983,81.67,-46.55,153.64,-0.73,0.69,0.11
4:8:56:14:18079,81.73,-46.53,153.98,-0.74,0.7,0.09
4:8:56:15:18191,82.45,-46.47,153.59,-0.72,0.7,0.08
4:8:56:15:18586,80.31,-46.81,155.26,-0.73,0.67,0.13
4:8:56:15:18682,80.67,-46.96,154.81,-0.74,0.69,0.11
4:8:56:15:18778,81.44,-46.96,153.83,-0.74,0.67,0.08
4:8:56:15:18889,80.61,-46.89,153.97,-0.76,0.69,0.15
4:8:56:15:18986,80.32,-46.67,154,-0.72,0.7,0.14
4:8:56:15:19082,80.69,-46.71,153.86,-0.73,0.68,0.1
4:8:56:15:19178,80.69,-46.75,153.77,-0.74,0.69,0.11
4:8:56:16:19668,80.27,-47.37,152.62,-0.73,0.67,0.12
4:8:56:16:19777,79.93,-47.82,152.55,-0.76,0.68,0.13
4:8:56:16:19889,79.15,-47.87,152.99,-0.76,0.67,0.13
4:8:56:16:19984,79.48,-47.96,152.34,-0.76,0.68,0.13
4:8:56:16:20080,78.87,-47.96,152.63,-0.75,0.68,0.14
4:8:56:16:20176,78.5,-47.97,152.82,-0.76,0.66,0.14
4:8:56:17:20597,77.57,-47.42,153.6,-0.74,0.68,0.16
4:8:56:17:20677,77.51,-47.37,153.87,-0.74,0.65,0.12
4:8:56:17:20789,76.76,-47.21,154.55,-0.73,0.69,0.19
4:8:56:17:20885,77.25,-47.88,154.52,-0.76,0.66,0.14
4:8:56:17:20981,77.82,-48.57,153.7,-0.75,0.64,0.15
4:8:56:17:21077,77.75,-48.74,153.37,-0.75,0.64,0.14
4:8:56:17:21173,77.37,-48.56,153.34,-0.77,0.66,0.14
4:8:56:18:21687,77.18,-48.34,153.89,-0.74,0.66,0.16
4:8:56:18:21783,76.85,-48,154.77,-0.76,0.67,0.17
4:8:56:18:21879,76.66,-47.7,155.6,-0.75,0.69,0.15
4:8:56:18:21974,75.95,-46.85,157.15,-0.72,0.68,0.19
4:8:56:18:22071,76.33,-46.73,158.18,-0.73,0.66,0.14
4:8:56:18:22167,76.77,-47.16,158.81,-0.73,0.66,0.15
4:8:56:19:22580,75.23,-48.68,162.14,-0.75,0.64,0.18
4:8:56:19:22674,75.06,-48.95,162.6,-0.76,0.64,0.19
4:8:56:19:22786,75.02,-48.95,162.95,-0.77,0.65,0.17
4:8:56:19:22899,75.25,-48.92,163.12,-0.78,0.64,0.17
4:8:56:19:22979,75.9,-48.9,162.7,-0.76,0.64,0.17
4:8:56:19:23074,76.39,-48.86,162.05,-0.76,0.63,0.15
