gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:9:32:48:16889,37.289494,127.06568,52.5,0.17,0.0,0.0,0.0,0.0,,0
not defined yet,6:9:32:49:17874,37.289536,127.06563,65.5,0.12,0.0,232.33,378.65,0.0,,0
not defined yet,6:9:32:50:18878,37.28954,127.06563,67.5,0.1,0.0,231.39,377.5,0.0,,0
not defined yet,6:9:32:51:19918,37.28953,127.06564,68.8,0.14,0.0,231.34,377.74,0.0,,0
not defined yet,6:9:32:52:20901,37.28953,127.06564,67.9,0.3,0.0,231.6,378.09,0.0,,0
not defined yet,6:9:32:53:21889,37.28954,127.06564,66.8,0.22,0.0,231.6,378.09,0.0,,0
not defined yet,6:9:32:54:22904,37.289547,127.06564,66.6,0.19,0.0,231.45,378.91,0.0,,0
not defined yet,6:9:32:55:23906,37.28955,127.06564,66.1,0.15,0.0,231.36,379.39,0.0,,0
not defined yet,6:9:32:56:24892,37.28955,127.06565,65.1,0.06,0.0,231.36,379.39,0.0,,0
not defined yet,6:9:32:57:25875,37.289555,127.06565,64.7,0.46,0.0,231.42,379.92,0.0,,0
not defined yet,6:9:32:58:26888,37.289562,127.06565,64.2,0.0,0.0,231.29,380.63,0.0,,0
not defined yet,6:9:32:59:27886,37.289562,127.06565,63.9,0.12,0.0,231.22,380.98,0.0,,0
not defined yet,6:9:33:0:28923,37.28956,127.06567,62.6,0.05,0.0,231.22,380.98,0.0,,0
not defined yet,6:9:33:1:29908,37.28956,127.06567,62.2,0.13,0.0,231.37,381.92,0.0,,0
not defined yet,6:9:33:2:30856,37.28956,127.06567,61.5,0.31,0.0,231.37,381.92,0.0,,0
not defined yet,6:9:33:3:31881,37.289562,127.06567,62.1,0.57,343.57,297.65,46.59,-62.35,,0
not defined yet,6:9:33:4:32893,37.289566,127.06567,63.4,0.72,256.57,297.65,46.59,-45.92,,0
not defined yet,6:9:33:5:33909,37.28955,127.06568,65.4,0.43,189.94,297.65,46.59,41.08,,0
not defined yet,6:9:33:6:34914,37.289547,127.06568,66.8,0.07,189.94,298.5,48.5,108.56,,0
not defined yet,6:9:33:7:35892,37.289547,127.06569,67.6,0.02,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:8:36905,37.289547,127.06569,67.6,0.04,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:9:37864,37.28955,127.06569,67.0,0.06,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:10:38885,37.28955,127.06569,67.1,0.07,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:11:39897,37.289547,127.06569,67.5,0.1,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:12:40911,37.289543,127.06569,67.9,0.01,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:13:41911,37.289543,127.06569,67.2,0.14,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:14:42885,37.289543,127.06569,67.0,0.02,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:15:43878,37.289547,127.06569,66.5,0.03,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:16:44879,37.289547,127.06569,66.1,0.03,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:17:45900,37.289547,127.06569,65.7,0.05,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:18:46918,37.28955,127.06569,65.3,0.04,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:19:47898,37.28955,127.06569,64.8,0.05,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:20:48907,37.28955,127.06569,64.6,0.07,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:21:49893,37.28955,127.06569,64.5,0.02,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:22:50916,37.28955,127.06569,64.5,0.06,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:23:51874,37.28955,127.06569,64.5,0.07,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:24:52867,37.28955,127.06569,64.4,0.04,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:25:53901,37.289547,127.06569,65.0,0.09,189.94,298.32,49.18,108.38,,0
not defined yet,6:9:33:26:54885,37.289543,127.06569,65.5,0.22,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:27:55905,37.28954,127.06569,65.0,0.09,189.94,298.51,49.27,108.57,,0
not defined yet,6:9:33:28:56888,37.28954,127.06568,65.0,0.02,189.94,299.28,49.64,109.34,,0
not defined yet,6:9:33:29:57899,37.289543,127.06568,65.1,0.01,189.94,299.48,48.96,109.54,,0
not defined yet,6:9:33:30:58890,37.289543,127.06568,65.0,0.06,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:31:59870,37.289543,127.06568,65.0,0.01,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:32:60866,37.289543,127.06568,65.2,0.03,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:33:61909,37.289547,127.06568,65.3,0.03,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:34:62913,37.289547,127.06568,65.4,0.03,189.94,298.7,48.59,108.76,,0
not defined yet,6:9:33:35:63881,37.28955,127.06569,65.4,0.6,99.99,298.7,48.59,108.76,,0
not defined yet,6:9:33:36:64885,37.28955,127.06569,65.3,0.42,99.99,298.32,49.18,-161.67,,0
not defined yet,6:9:33:37:65886,37.28955,127.06569,65.1,0.03,99.99,298.32,49.18,-161.67,,0
not defined yet,6:9:33:38:66871,37.28955,127.06569,65.0,0.07,99.99,298.32,49.18,-161.67,,0
not defined yet,6:9:33:39:67866,37.28955,127.06569,65.2,0.07,99.99,298.32,49.18,-161.67,,0
not defined yet,6:9:33:40:68923,37.289555,127.06568,65.3,1.15,198.46,298.32,49.18,-161.67,,0
not defined yet,6:9:33:41:69924,37.28955,127.06568,66.3,1.08,225.41,297.51,48.05,99.05,,0
not defined yet,6:9:33:42:70894,37.289543,127.06567,66.6,1.16,225.28,298.5,48.5,73.09,,0
not defined yet,6:9:33:43:71904,37.28953,127.06565,67.4,0.92,224.24,299.48,47.41,74.2,,0
not defined yet,6:9:33:44:72912,37.28953,127.06564,68.5,0.99,226.28,302.49,47.32,78.25,,0
not defined yet,6:9:33:45:73883,37.28952,127.06563,69.0,1.14,224.51,303.13,46.85,76.85,,0
not defined yet,6:9:33:46:74885,37.289513,127.06563,69.0,1.13,226.2,304.84,46.16,80.33,,0
not defined yet,6:9:33:47:75888,37.289513,127.06561,68.8,1.01,229.29,305.79,46.7,79.59,,0
not defined yet,6:9:33:48:76880,37.289505,127.065605,68.8,0.98,230.36,306.78,45.61,77.49,,0
not defined yet,6:9:33:49:77977,37.2895,127.065605,68.6,0.66,229.97,308.06,45.54,77.7,,0
not defined yet,6:9:33:50:78913,37.2895,127.06559,68.2,0.75,245.35,308.62,45.89,78.65,,0
not defined yet,6:9:33:51:79900,37.289497,127.065575,68.3,1.19,240.81,309.7,44.84,64.35,,0
not defined yet,6:9:33:52:80903,37.28949,127.065575,68.3,1.21,241.52,310.83,43.81,70.02,,0
not defined yet,6:9:33:53:81875,37.28949,127.06556,68.1,1.11,240.62,311.75,44.43,70.23,,0
not defined yet,6:9:33:54:82895,37.289486,127.06555,67.9,0.92,244.15,312.94,43.43,72.32,,0
not defined yet,6:9:33:55:83885,37.289482,127.06554,67.6,0.48,244.15,313.74,43.07,69.59,,0
not defined yet,6:9:33:56:84876,37.28948,127.06554,67.5,0.02,244.15,315.37,42.37,71.22,,0
not defined yet,6:9:33:57:85915,37.28948,127.06554,67.3,0.02,244.15,315.73,42.65,71.58,,0
not defined yet,6:9:33:58:86883,37.28948,127.06554,67.3,0.05,244.15,315.73,42.65,71.58,,0
not defined yet,6:9:33:59:87855,37.289474,127.06554,67.5,0.07,244.15,315.73,42.65,71.58,,0
not defined yet,6:9:34:0:88890,37.289474,127.06554,67.6,0.15,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:1:89867,37.28947,127.06554,67.5,0.03,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:2:90871,37.28947,127.06554,67.5,0.01,244.15,316.26,43.06,72.11,,0
not defined yet,6:9:34:3:91873,37.28947,127.06554,67.4,0.06,244.15,316.26,43.06,72.11,,0
