sysTime,serialLOG
6:7:23:41:43558,"
"
6:7:23:41:43559,"OK
"
6:7:23:42:44561,"
"
6:7:23:42:44562,"OK
"
6:7:23:43:45626,"
"
6:7:23:43:45642,"CONNECT 0001953D04A9
"
6:7:23:43:46015,",1,6,60.41,22.08,-10.76,-0.05,1.24,0.75,1.45,1.29
"
6:7:23:43:46016,"%,1,6,73.61,23.41,-3.13,-0.07,0.95,0.17,0.97,1.24
"
6:7:23:43:46063,"%,1,6,81.99,21.17,1.42,0.06,0.71,0.20,0.74,1.05
"
6:7:23:43:46158,"%,1,6,84.06,21.72,5.32,-0.12,0.76,0.50,0.92,0.88
"
6:7:23:43:46255,"%,1,6,81.81,16.10,9.67,-0.36,0.84,0.55,1.07,0.91
"
6:7:23:43:46286,"%,3,2,4,1
"
6:7:23:43:46302,"%,4,1,3
"
6:7:23:44:46629,"%,2,6,37.2895812,127.0656051,73.30,11,1.14,301.45
"
6:7:23:44:46630,"%,5,2,379.03,230.61
"
6:7:23:44:46660,"%,1,6,85.12,17.01,0.25,-0.12,0.59,0.21,0.64,0.87
"
6:7:23:44:46740,"%,1,6,85.55,18.89,-4.20,-0.45,0.61,0.26,0.80,0.84
"
6:7:23:44:46851,"%,1,6,84.78,22.51,-3.94,-0.39,1.02,0.49,1.20,0.88
"
6:7:23:44:46948,"%,1,6,85.35,23.62,-3.93,-0.42,1.00,0.45,1.18,1.06
"
6:7:23:44:47045,"%,1,6,86.42,24.62,-3.47,-0.37,1.06,0.49,1.22,1.20
"
6:7:23:44:47140,"%,1,6,86.97,25.01,-2.41,-0.37,0.96,0.30,1.07,1.16
"
6:7:23:44:47237,"%,1,6,87.61,28.65,-2.82,-0.18,0.51,0.17,0.56,0.95
"
6:7:23:44:47315,"%,3,2,4,1
"
6:7:23:44:47315,"%,4,1,3
"
6:7:23:45:47587,"%,2,6,37.2895774,127.0655899,72.60,11,1.00,297.32
"
6:7:23:45:47602,"%,5,2,377.86,230.51
"
