sysTime,serialLOG
11:22:42:16:7854,"%,2,6,37.3548660,127.1184921,54.50,12,3.74,210.32
"
11:22:42:17:8321,"%,5,2,8765.%,3,1,3
"
11:22:42:17:8323,"%,4,1,4
"
11:22:42:17:8381,"%,2,6,37.3548583,127.1184692,54.00,12,0.04,211.59
"
11:22:42:17:8383,"%,5,2,8763.84,214.63
"
11:22:42:17:8385,"[406463] Turn winch(auto):
"
11:22:42:17:8386,"[406465] 3.04
"
11:22:42:17:8386,"%,6,2,3.04,-22.65
"
11:22:42:17:8462,"%,1,6,2.61,-3.22,-78.74,-0.04,0.05,0.97
"
11:22:42:17:8577,"%,1,6,2.58,-3.23,-78.74,-0.05,0.06,1.00
"
11:22:42:17:8671,"%,1,6,2.59,-3.23,-78.74,-0.04,0.03,1.00
"
11:22:42:17:8765,"%,1,6,2.60,-3.23,-78.74,-0.06,0.04,0.98
"
11:22:42:17:8877,"%,1,6,2.60,-3.23,-78.75,-0.06,0.05,0.99
"
11:22:42:17:8973,"%,1,6,2.59,-3.23,-78.76,-0.05,0.05,1.00
"
11:22:42:18:9070,"%,1,6,2.59,-3.23,-78.77,-0.06,0.03,0.98
"
11:22:42:18:9292,"%,3,1,3
"
11:22:42:18:9293,"%,4,1,4
"
11:22:42:19:10298,"%,3,1,3
"
11:22:42:19:10299,"%,4,1,4
"
11:22:42:19:10366,"%,2,6,37.3548583,127.1184692,53.80,12,0.00,211.59
"
11:22:42:19:10367,"%,5,2,8763.84,214.63
"
11:22:42:19:10369,"[408461] Turn winch(auto):
"
11:22:42:19:10369,"[408461] 3.04
"
11:22:42:19:10370,"%,6,2,3.04,-22.65
"
11:22:42:19:10372,"%,1,6,2.58,-3.25,-78.73,-0.07,0.03,0.99
"
11:22:42:19:10481,"%,1,6,2.60,-3.25,-78.76,-0.07,0.03,1.00
"
11:22:42:19:10592,"%,1,6,2.60,-3.24,-78.76,-0.07,0.04,0.97
"
11:22:42:19:10671,"%,1,6,2.60,-3.25,-78.77,-0.04,0.04,0.98
"
11:22:42:19:10766,"%,1,6,2.58,-3.24,-78.78,-0.06,0.05,0.99
"
11:22:42:19:10862,"%,1,6,2.59,-3.24,-78.78,-0.06,0.02,0.99
"
11:22:42:19:10959,"%,1,6,2.60,-3.25,-78.78,-0.07,0.04,0.97
"
11:22:42:20:11069,"%,1,6,2.61,-3.24,-78.79,-0.04,0.05,0.98
"
11:22:42:20:11293,"%,3,1,3
"
11:22:42:20:11294,"%,4,1,4
"
11:22:42:21:12284,"%,3,1,3
"
11:22:42:21:12285,"%,4,1,4
"
11:22:42:21:12371,"%,2,6,37.3548583,127.1184692,53.50,12,0.00,211.59
"
11:22:42:21:12372,"%,5,2,8763.84,214.63
"
11:22:42:21:12373,"[410475] Turn winch(auto):
"
11:22:42:21:12373,"[410475] 3.04
"
11:22:42:21:12374,"%,6,2,3.04,-22.65
"
11:22:42:21:12387,"%,1,6,2.59,-3.24,-78.89,-0.04,0.05,0.98
"
11:22:42:21:12467,"%,1,6,2.58,-3.24,-78.89,-0.05,0.06,0.99
"
11:22:42:21:12563,"%,1,6,2.58,-3.24,-78.90,-0.05,0.03,1.00
"
11:22:42:21:12674,"%,1,6,2.60,-3.24,-78.89,-0.06,0.04,0.97
"
11:22:42:21:12785,"%,1,6,2.60,-3.23,-78.88,-0.05,0.04,0.99
"
11:22:42:21:12865,"%,1,6,2.59,-3.24,-78.88,-0.05,0.05,0.99
"
11:22:42:21:12962,"%,1,6,2.59,-3.24,-78.87,-0.06,0.03,0.98
"
11:22:42:22:13089,"%,1,6,2.60,-3.24,-78.88,-0.06,0.03,0.99
"
11:22:42:22:13281,"%,3,1,3
"
11:22:42:22:13282,"%,4,1,4
"
11:22:42:23:14286,"%,3,1,3
"
11:22:42:23:14287,"%,4,1,4
"
11:22:42:23:14336,"%,2,6,37.3548583,127.1184692,53.30,12,0.04,211.59
"
11:22:42:23:14364,"%,5,2,8763.84,214.63
"
11:22:42:23:14365,"[412481] Turn winch(auto):
"
11:22:42:23:14366,"[412482] 3.04
"
11:22:42:23:14366,"%,6,2,3.04,-22.65
"
11:22:42:23:14380,"%,1,6,2.61,-3.26,-78.50,-0.06,0.03,0.99
"
11:22:42:23:14475,"%,1,6,2.60,-3.24,-78.48,-0.07,0.04,0.97
"
11:22:42:23:14603,"%,1,6,2.59,-3.26,-78.47,-0.05,0.05,0.98
"
11:22:42:23:14667,"%,1,6,2.58,-3.27,-78.46,-0.06,0.05,0.99
"
11:22:42:23:14778,"%,1,6,2.59,-3.26,-78.45,-0.05,0.02,0.99
"
11:22:42:23:14874,"%,1,6,2.60,-3.25,-78.46,-0.06,0.04,0.97
"
11:22:42:23:14972,"%,1,6,2.61,-3.24,-78.46,-0.03,0.05,0.97
"
11:22:42:24:15068,"%,1,6,2.60,-3.25,-78.45,-0.05,0.06,0.99
"
11:22:42:24:15273,"%,3,1,3
"
11:22:42:24:15273,"%,4,1,4
"
11:22:42:25:16264,"%,3,1,3
"
11:22:42:25:16265,"%,4,1,4
"
11:22:42:25:16365,"%,2,6,37.3548545,127.1184692,53.00,12,0.04,211.59
"
11:22:42:25:16366,"%,5,2,8763.37,214.63
"
11:22:42:25:16367,"[414491] Turn winch(auto):
"
11:22:42:25:16367,"[414491] 3.04
"
11:22:42:25:16367,"%,6,2,3.04,-22.65
"
11:22:42:25:16382,"%,1,6,2.60,-3.22,-78.43,-0.05,0.06,0.99
"
11:22:42:25:16461,"%,1,6,2.60,-3.22,-78.42,-0.04,0.03,1.00
"
11:22:42:25:16574,"%,1,6,2.62,-3.23,-78.41,-0.06,0.05,0.97
"
11:22:42:25:16654,"%,1,6,2.63,-3.22,-78.41,-0.06,0.05,0.98
"
11:22:42:25:16781,"%,1,6,2.62,-3.23,-78.40,-0.05,0.05,0.99
"
11:22:42:25:16879,"%,1,6,2.62,-3.23,-78.39,-0.06,0.03,0.98
"
11:22:42:25:16990,"%,1,6,2.63,-3.23,-78.39,-0.07,0.03,0.99
"
11:22:42:26:17070,"%,1,6,2.63,-3.22,-78.33,-0.07,0.04,0.97
"
11:22:42:26:17277,"%,3,1,2
"
11:22:42:26:17277,"%,4,1,4
"
11:22:42:27:18252,"%,3,1,2
"
11:22:42:27:18252,"%,4,1,4
"
11:22:42:27:18342,"%,2,6,37.3548545,127.1184692,52.90,12,0.00,211.59
"
11:22:42:27:18343,"%,5,2,8763.37,214.63
"
11:22:42:27:18357,"[416500] Turn winch(auto):
"
11:22:42:27:18358,"[416500] 3.04
"
11:22:42:27:18358,"%,6,2,3.04,-22.65
"
11:22:42:27:18374,"%,1,6,2.59,-3.26,-77.77,-0.06,0.04,0.98
"
11:22:42:27:18486,"%,1,6,2.59,-3.27,-77.74,-0.05,0.06,0.98
"
11:22:42:27:18565,"%,1,6,2.59,-3.27,-77.73,-0.06,0.03,0.99
"
11:22:42:27:18678,"%,1,6,2.59,-3.27,-77.71,-0.06,0.03,0.98
"
11:22:42:27:18773,"%,1,6,2.60,-3.26,-77.68,-0.06,0.04,0.97
"
11:22:42:27:18871,"%,1,6,2.61,-3.25,-77.67,-0.03,0.05,0.99
"
11:22:42:27:18966,"%,1,6,2.59,-3.26,-77.64,-0.06,0.05,0.99
"
11:22:42:28:19080,"%,1,6,2.60,-3.26,-77.62,-0.05,0.03,1.00
"
11:22:42:28:19253,"%,3,1,3
"
11:22:42:28:19253,"%,4,1,4
"
11:22:42:29:20246,"%,3,1,3
"
11:22:42:29:20262,"%,4,1,4
"
11:22:42:29:20353,"%,2,6,37.3548507,127.1184692,52.90,12,0.04,211.59
"
11:22:42:29:20354,"%,5,2,8763.06,214.64
"
11:22:42:29:20371,"[418508] Turn winch(auto):
"
11:22:42:29:20371,"[418510] 3.05
"
11:22:42:29:20372,"%,6,2,3.05,-22.65
"
11:22:42:29:20373,"%,1,6,2.61,-3.22,-77.54,-0.04,0.02,1.00
"
11:22:42:29:20454,"%,1,6,2.62,-3.21,-77.55,-0.06,0.05,0.97
"
11:22:42:29:20564,"%,1,6,2.61,-3.22,-77.53,-0.04,0.05,0.99
"
11:22:42:29:20662,"%,1,6,2.60,-3.22,-77.53,-0.05,0.04,0.99
"
11:22:42:29:20759,"%,1,6,2.61,-3.20,-77.61,-0.04,0.02,0.99
"
11:22:42:29:20869,"%,1,6,2.62,-3.18,-77.73,-0.07,0.03,0.97
"
11:22:42:29:20966,"%,1,6,2.62,-3.15,-77.85,-0.05,0.03,0.97
"
11:22:42:30:21062,"%,1,6,2.62,-3.14,-77.95,-0.05,0.04,0.99
"
11:22:42:30:21267,"%,3,1,3
"
11:22:42:30:21267,"%,4,1,4
"
11:22:42:31:22242,"%,3,1,3
"
11:22:42:31:22243,"%,4,1,4
"
11:22:42:31:22368,"%,2,6,37.3548507,127.1184692,53.10,12,0.04,211.59
"
11:22:42:31:22369,"%,5,2,8763.06,214.64
"
11:22:42:31:22370,"[420520] Turn winch(auto):
"
11:22:42:31:22370,"[420520] 3.05
"
11:22:42:31:22371,"%,6,2,3.05,-22.65
"
11:22:42:31:22382,"%,1,6,2.61,-3.17,-78.69,-0.06,0.06,0.99
"
11:22:42:31:22479,"%,1,6,2.61,-3.18,-78.71,-0.05,0.03,0.99
"
11:22:42:31:22574,"%,1,6,2.61,-3.18,-78.75,-0.06,0.03,0.97
"
11:22:42:31:22669,"%,1,6,2.61,-3.17,-78.78,-0.06,0.04,0.99
"
11:22:42:31:22766,"%,1,6,2.61,-3.18,-78.80,-0.04,0.06,0.98
"
11:22:42:31:22861,"%,1,6,2.60,-3.18,-78.82,-0.06,0.04,0.98
"
11:22:42:31:22973,"%,1,6,2.61,-3.18,-78.84,-0.06,0.02,0.99
"
11:22:42:32:23070,"%,1,6,2.62,-3.18,-78.86,-0.07,0.04,0.97
"
11:22:42:32:23244,"%,3,1,3
"
11:22:42:32:23244,"%,4,1,4
"
11:22:42:33:24235,"%,3,1,3
"
11:22:42:33:24235,"%,4,1,4
"
11:22:42:33:24344,"%,2,6,37.3548469,127.1184692,53.40,12,0.04,211.59
"
11:22:42:33:24371,"%,5,2,8762.59,214.64
"
11:22:42:33:24373,"[422530] Turn winch(auto):
"
11:22:42:33:24373,"[422532] 3.05
"
11:22:42:33:24374,"%,6,2,3.05,-22.65
"
11:22:42:33:24376,"%,1,6,2.62,-3.19,-78.96,-0.07,0.04,0.98
"
11:22:42:33:24468,"%,1,6,2.61,-3.20,-78.97,-0.05,0.02,0.98
"
11:22:42:33:24595,"%,1,6,2.60,-3.23,-78.84,-0.07,0.04,0.99
"
11:22:42:33:24677,"%,1,6,2.60,-3.26,-78.71,-0.06,0.03,1.00
"
11:22:42:33:24772,"%,1,6,2.60,-3.28,-78.57,-0.06,0.05,0.98
"
11:22:42:33:24884,"%,1,6,2.59,-3.29,-78.42,-0.03,0.04,0.97
"
11:22:42:33:24964,"%,1,6,2.59,-3.31,-78.29,-0.04,0.05,0.99
"
11:22:42:34:25075,"%,1,6,2.59,-3.32,-78.18,-0.05,0.02,1.00
"
11:22:42:34:25233,"%,3,1,3
"
11:22:42:34:25233,"%,4,1,4
"
11:22:42:35:26209,"%,3,1,3
"
11:22:42:35:26209,"%,4,1,4
"
11:22:42:35:26343,"%,2,6,37.3548469,127.1184692,53.80,12,0.00,211.59
"
11:22:42:35:26344,"%,5,2,8762.59,214.64
"
11:22:42:35:26359,"[424535] Turn winch(auto):
"
11:22:42:35:26359,"[424536] 3.05
"
11:22:42:35:26359,"%,6,2,3.05,-22.65
"
11:22:42:35:26375,"%,1,6,2.61,-3.18,-78.16,-0.05,0.03,0.99
"
11:22:42:35:26506,"%,1,6,2.61,-3.18,-78.22,-0.06,0.04,0.96
"
11:22:42:35:26583,"%,1,6,2.62,-3.16,-78.30,-0.06,0.04,0.98
"
11:22:42:35:26679,"%,1,6,2.61,-3.16,-78.38,-0.05,0.05,0.99
"
11:22:42:35:26774,"%,1,6,2.60,-3.16,-78.42,-0.06,0.03,0.99
"
11:22:42:35:26870,"%,1,6,2.62,-3.16,-78.48,-0.06,0.03,1.00
"
11:22:42:35:26982,"%,1,6,2.62,-3.15,-78.53,-0.07,0.04,0.97
"
11:22:42:36:27079,"%,1,6,2.61,-3.16,-78.59,-0.04,0.04,0.97
"
11:22:42:36:27221,"%,3,1,3
"
11:22:42:36:27221,"%,4,1,4
"
11:22:42:37:28212,"%,3,1,3
"
11:22:42:37:28212,"%,4,1,4
"
11:22:42:37:28340,"%,2,6,37.3548469,127.1184692,54.40,12,0.00,211.59
"
11:22:42:37:28341,"%,5,2,8762.59,214.64
"
11:22:42:37:28362,"[426541] Turn winch(auto):
"
11:22:42:37:28363,"[426541] 3.05
"
11:22:42:37:28363,"%,6,2,3.05,-22.65
"
11:22:42:37:28364,"%,1,6,2.60,-3.21,-78.93,-0.05,0.05,0.99
"
11:22:42:37:28474,"%,1,6,2.59,-3.21,-78.95,-0.06,0.04,0.99
"
11:22:42:37:28570,"%,1,6,2.59,-3.22,-78.98,-0.06,0.02,0.98
"
11:22:42:37:28667,"%,1,6,2.60,-3.22,-78.99,-0.06,0.04,0.97
"
11:22:42:37:28794,"%,1,6,2.60,-3.24,-78.92,-0.05,0.05,0.99
"
11:22:42:37:28873,"%,1,6,2.59,-3.24,-78.90,-0.05,0.06,0.99
"
11:22:42:37:28969,"%,1,6,2.59,-3.25,-78.86,-0.05,0.03,1.00
"
11:22:42:38:29067,"%,1,6,2.60,-3.25,-78.85,-0.06,0.04,0.98
"
11:22:42:38:29192,"%,3,1,2
"
11:22:42:38:29192,"%,4,1,4
"
11:22:42:39:30215,"%,3,1,2
"
11:22:42:39:30215,"%,4,1,4
"
11:22:42:39:30343,"%,2,6,37.3548469,127.1184692,55.00,12,0.04,211.59
"
11:22:42:39:30365,"%,5,2,8762.59,214.64
"
11:22:42:39:30367,"[428555] Turn winch(auto):
"
11:22:42:39:30368,"[428555] 3.05
"
11:22:42:39:30369,"%,6,2,3.05,-22.65
"
11:22:42:39:30381,"%,1,6,2.60,-3.22,-78.81,-0.06,0.04,0.97
"
11:22:42:39:30477,"%,1,6,2.60,-3.21,-78.81,-0.06,0.05,0.98
"
11:22:42:39:30558,"%,1,6,2.60,-3.22,-78.80,-0.06,0.05,0.99
"
11:22:42:39:30684,"%,1,6,2.59,-3.23,-78.80,-0.06,0.04,0.99
"
11:22:42:39:30781,"%,1,6,2.61,-3.23,-78.80,-0.07,0.03,0.99
"
11:22:42:39:30860,"%,1,6,2.61,-3.22,-78.79,-0.07,0.04,0.97
"
11:22:42:39:30988,"%,1,6,2.60,-3.22,-78.78,-0.05,0.04,0.99
"
11:22:42:39:31052,"%,1,6,2.59,-3.22,-78.79,-0.06,0.04,0.99
"
11:22:42:40:31195,"%,3,1,2
"
11:22:42:40:31195,"%,4,1,4
"
11:22:42:41:32204,"%,3,1,3
"
11:22:42:41:32204,"%,4,1,4
"
11:22:42:41:32364,"%,2,6,37.3548469,127.1184692,55.60,12,0.00,211.59
"
11:22:42:41:32365,"%,5,2,8762.59,214.64
"
11:22:42:41:32366,"[430563] Turn winch(auto):
"
11:22:42:41:32366,"[430563] 3.05
"
11:22:42:41:32366,"%,6,2,3.05,-22.65
"
11:22:42:41:32381,"%,1,6,2.59,-3.24,-78.79,-0.06,0.04,0.99
"
11:22:42:41:32461,"%,1,6,2.60,-3.23,-78.80,-0.06,0.02,0.98
"
11:22:42:41:32570,"%,1,6,2.60,-3.23,-78.80,-0.06,0.04,0.98
"
11:22:42:41:32667,"%,1,6,2.60,-3.22,-78.80,-0.03,0.05,0.97
"
11:22:42:41:32764,"%,1,6,2.59,-3.23,-78.81,-0.05,0.05,0.98
"
11:22:42:41:32861,"%,1,6,2.60,-3.23,-78.80,-0.05,0.03,0.99
"
11:22:42:41:32987,"%,1,6,2.61,-3.23,-78.82,-0.07,0.05,0.97
"
